"MM Retake","","","","","","","","",""
"Adicionar descrição do quadro","","","","","","","","",""
"","","","","","","","","",""
"101 Bagunça Implacável","","","","","","","","",""
"Name","ANIM","COMP","JULIETA E/OU LÚCIO","Responsável","Espelho","BG v1","MM Animação","ANIM PRAZO","COMP PRAZO"
"10","","","","","APROVADO DIR. GERAL","","10","",""
"20","","","","","APROVADO DIR. GERAL","","20","",""
"30","","","","","APROVADO DIR. GERAL","","30","",""
"40","","","","","APROVADO DIR. GERAL","","40","",""
"50","","","","","APROVADO DIR. GERAL","","50","",""
"60","","","","","APROVADO DIR. GERAL","","60","",""
"70","","","","","APROVADO DIR. GERAL","","70","",""
"80","","","","","APROVADO DIR. GERAL","","80","",""
"90","","","","","APROVADO DIR. GERAL","","90","",""
"100","","","","","APROVADO DIR. GERAL","","100","",""
"110","","","","","APROVADO DIR. GERAL","","110","",""
"120","","","","","APROVADO DIR. GERAL","","120","",""
"130","","","","","APROVADO DIR. GERAL","","130","",""
"140","","","","","APROVADO DIR. GERAL","","140","",""
"150","","","","","APROVADO DIR. GERAL","","150","",""
"160","","","","","APROVADO DIR. GERAL","","160","",""
"170","","","","","APROVADO DIR. GERAL","","170","",""
"180","","","","","APROVADO DIR. GERAL","","180","",""
"190","","","","","APROVADO DIR. GERAL","","190","",""
"200","","","","","APROVADO DIR. GERAL","","200","",""
"210","","","","","APROVADO DIR. GERAL","","210","",""
"220","","","","","APROVADO DIR. GERAL","","220","",""
"230","APROVADO","ENTREGUE CHATRONE","","Fits, André Rache","APROVADO DIR. GERAL","","230","2022-03-18","2022-03-18"
"240","","","","","APROVADO DIR. GERAL","","240","",""
"250","","","","","APROVADO DIR. GERAL","","250","",""
"260","","","","","APROVADO DIR. GERAL","","260","",""
"270","","","","","APROVADO DIR. GERAL","","270","",""
"280","APROVADO","ENTREGUE CHATRONE","","Fits, André Rache","APROVADO DIR. GERAL","","280","2022-03-18","2022-03-18"
"290","","","","","APROVADO DIR. GERAL","","290","",""
"300","","","","","APROVADO DIR. GERAL","","300","",""
"310","APROVADO","ENTREGUE CHATRONE","","Igor, André Rache","APROVADO DIR. GERAL","","310","2022-03-18","2022-03-18"
"320","","","","","APROVADO DIR. GERAL","","320","",""
"330","","","","","APROVADO DIR. GERAL","","330","",""
"340","","","","","APROVADO DIR. GERAL","","340","",""
"350","","","","","APROVADO DIR. GERAL","","350","",""
"360","","","","","APROVADO DIR. GERAL","","360","",""
"370","","","","","APROVADO DIR. GERAL","","370","",""
"380","","","","","APROVADO DIR. GERAL","","380","",""
"390","","","","","APROVADO DIR. GERAL","","390","",""
"400","","","","","APROVADO DIR. GERAL","","400","",""
"410","APROVADO","ENTREGUE CHATRONE","","Fits, André Rache","APROVADO DIR. GERAL","","410","2022-03-18","2022-03-18"
"420","APROVADO","ENTREGUE CHATRONE","","Fits, Igor","APROVADO DIR. GERAL","","420","2022-03-18","2022-03-18"
"430","","","","","APROVADO DIR. GERAL","","430","",""
"440","","","","","APROVADO DIR. GERAL","","440","",""
"450","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","450","",""
"460","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","460","",""
"470","","","","","APROVADO DIR. GERAL","","470","",""
"480","","","","","APROVADO DIR. GERAL","","480","",""
"490","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","490","",""
"500","","","","","APROVADO DIR. GERAL","","500","",""
"510","","","","","APROVADO DIR. GERAL","","510","",""
"520","","","","","APROVADO DIR. GERAL","","520","",""
"530","","","","","APROVADO DIR. GERAL","","530","",""
"540","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","540","",""
"550","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","550","",""
"560","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","560","",""
"570","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","570","",""
"580","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","580","",""
"590","","","","","APROVADO DIR. GERAL","","590","",""
"600","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","600","",""
"610","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","610","",""
"620","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","620","",""
"630","","","","","APROVADO DIR. GERAL","","630","",""
"640","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","640","",""
"650","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","650","",""
"660","","","","","APROVADO DIR. GERAL","","660","",""
"670","","","","","APROVADO DIR. GERAL","","670","",""
"680","","","","","APROVADO DIR. GERAL","","680","",""
"690","","","","","APROVADO DIR. GERAL","","690","",""
"700","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","700","",""
"710","","","","","APROVADO DIR. GERAL","","710","",""
"720","","","","","APROVADO DIR. GERAL","","720","",""
"730","","","","","APROVADO DIR. GERAL","","730","",""
"740","","","","","APROVADO DIR. GERAL","","740","",""
"750","","","","","APROVADO DIR. GERAL","","750","",""
